Model,Env,Run,Wall Time (s),Sample Complexity,Mean Reward,Std Dev,File,Save Path
trpor,Ant-v5,1,697.498621225357,inf,647.4662498191419,659.4625548121633,.eval/trpor/Ant-v5_1/run_1_data.csv,.eval/trpor/Ant-v5_1
trpor,Ant-v5,2,372.0505657196045,inf,725.48466956,772.4471658360461,.eval/trpor/Ant-v5_2/run_2_data.csv,.eval/trpor/Ant-v5_2
trpor,Ant-v5,3,360.4720287322998,inf,596.4316551989979,566.3482403147684,.eval/trpor/Ant-v5_3/run_3_data.csv,.eval/trpor/Ant-v5_3
entrpo,Ant-v5,1,441.2026228904724,1630,537.6348294766917,729.2286937703634,.eval/entrpo/Ant-v5_1/run_1_data.csv,.eval/entrpo/Ant-v5_1
trpor,Ant-v5,4,359.14980149269104,inf,571.1824464934524,648.7385352068957,.eval/trpor/Ant-v5_4/run_4_data.csv,.eval/trpor/Ant-v5_4
entrpo,Ant-v5,2,442.86620807647705,2525,395.0143207467748,687.2292676818055,.eval/entrpo/Ant-v5_2/run_2_data.csv,.eval/entrpo/Ant-v5_2
trpor,Ant-v5,5,359.8592245578766,inf,619.8798778729216,669.9218161369323,.eval/trpor/Ant-v5_5/run_5_data.csv,.eval/trpor/Ant-v5_5
entrpo,Ant-v5,3,445.25684332847595,1617,685.787507296576,991.3736764673719,.eval/entrpo/Ant-v5_3/run_3_data.csv,.eval/entrpo/Ant-v5_3
trpor,Ant-v5,6,361.52916526794434,inf,808.6828629823129,906.744471224033,.eval/trpor/Ant-v5_6/run_6_data.csv,.eval/trpor/Ant-v5_6
entrpo,Ant-v5,4,445.1065528392792,1857,466.03456322880965,664.7431156850396,.eval/entrpo/Ant-v5_4/run_4_data.csv,.eval/entrpo/Ant-v5_4
trpor,Ant-v5,7,359.3746087551117,inf,662.0210712019116,760.9386798561047,.eval/trpor/Ant-v5_7/run_7_data.csv,.eval/trpor/Ant-v5_7
entrpo,Ant-v5,5,443.3707857131958,2263,507.5115044671677,901.8908198260372,.eval/entrpo/Ant-v5_5/run_5_data.csv,.eval/entrpo/Ant-v5_5
trpor,Ant-v5,8,358.4958236217499,inf,666.6653394615857,808.262133714971,.eval/trpor/Ant-v5_8/run_8_data.csv,.eval/trpor/Ant-v5_8
trpor,Ant-v5,9,359.1021614074707,inf,673.0149680767046,644.3897995438809,.eval/trpor/Ant-v5_9/run_9_data.csv,.eval/trpor/Ant-v5_9
entrpo,Ant-v5,6,446.20163583755493,1685,580.0070028036417,827.8038529209298,.eval/entrpo/Ant-v5_6/run_6_data.csv,.eval/entrpo/Ant-v5_6
trpor,Ant-v5,10,362.12254309654236,inf,650.0270919456806,763.1806914049637,.eval/trpor/Ant-v5_10/run_10_data.csv,.eval/trpor/Ant-v5_10
entrpo,Ant-v5,7,445.40401005744934,1820,539.204603855948,801.2778416657128,.eval/entrpo/Ant-v5_7/run_7_data.csv,.eval/entrpo/Ant-v5_7
trpor,Ant-v5,1,369.4446783065796,inf,708.1836471263409,810.6843652824872,.eval/trpor/Ant-v5_11/run_1_data.csv,.eval/trpor/Ant-v5_11
entrpo,Ant-v5,8,465.3031716346741,2691,367.7411703122348,656.9778883104078,.eval/entrpo/Ant-v5_8/run_8_data.csv,.eval/entrpo/Ant-v5_8
entrpo,Ant-v5,9,400.57060647010803,2433,387.3087141780085,675.1867700586566,.eval/entrpo/Ant-v5_9/run_9_data.csv,.eval/entrpo/Ant-v5_9
entrpo,Ant-v5,10,457.2473192214966,1801,458.7217314038741,660.3017262319041,.eval/entrpo/Ant-v5_10/run_10_data.csv,.eval/entrpo/Ant-v5_10
trpo,Ant-v5,1,198.78887367248535,inf,114.73316992068966,319.9009393281262,.eval/trpo/Ant-v5_3/run_1_data.csv,.eval/trpo/Ant-v5_3
trpo,Ant-v5,1,327.49566769599915,inf,169.90229015151516,383.13108566327185,.eval/trpo/Ant-v5_1/run_1_data.csv,.eval/trpo/Ant-v5_1
trpo,Ant-v5,2,489.1090681552887,inf,162.8040493815261,357.5420180549668,.eval/trpo/Ant-v5_2/run_2_data.csv,.eval/trpo/Ant-v5_2
entrpo,Ant-v5,1,964.7377023696899,2185,452.83921019870496,749.4805350876766,.eval/entrpo/Ant-v5_11/run_1_data.csv,.eval/entrpo/Ant-v5_11
trpor,Ant-v5,1,981.3558096885681,inf,525.2625275296319,575.3484426853842,.eval/trpor/Ant-v5_13/run_1_data.csv,.eval/trpor/Ant-v5_13
trpo,Ant-v5,3,441.6831123828888,inf,132.72656674358976,334.83418553680724,.eval/trpo/Ant-v5_3/run_3_data.csv,.eval/trpo/Ant-v5_3
trpo,Ant-v5,4,448.51839447021484,inf,124.22643741296929,331.03879944345516,.eval/trpo/Ant-v5_4/run_4_data.csv,.eval/trpo/Ant-v5_4
entrpo,Ant-v5,2,1175.1910665035248,2803,388.77405820060994,770.5252223922731,.eval/entrpo/Ant-v5_12/run_2_data.csv,.eval/entrpo/Ant-v5_12
trpor,Ant-v5,2,991.7717752456665,inf,653.3440483955824,704.1410472761088,.eval/trpor/Ant-v5_14/run_2_data.csv,.eval/trpor/Ant-v5_14
trpo,Ant-v5,5,440.81585335731506,inf,113.20342207536233,298.78269580648356,.eval/trpo/Ant-v5_5/run_5_data.csv,.eval/trpo/Ant-v5_5
trpo,Ant-v5,6,404.32467222213745,inf,140.93703087457627,362.4430152998998,.eval/trpo/Ant-v5_6/run_6_data.csv,.eval/trpo/Ant-v5_6
trpor,Ant-v5,3,897.0784602165222,inf,609.8964410612613,720.9683522876617,.eval/trpor/Ant-v5_15/run_3_data.csv,.eval/trpor/Ant-v5_15
entrpo,Ant-v5,1,6203.171769857407,1907,503.7208007042002,749.1609701152677,.eval/entrpo/Ant-v5_1/run_1_data.csv,.eval/entrpo/Ant-v5_1
trpor,Ant-v5,1,9166.69328904152,inf,728.015294006725,742.3067373060791,.eval/trpor/Ant-v5_17/run_1_data.csv,.eval/trpor/Ant-v5_17
entrpo,Ant-v5,2,6841.996432304382,1828,505.94699250069283,727.4309451402752,.eval/entrpo/Ant-v5_2/run_2_data.csv,.eval/entrpo/Ant-v5_2
entrpohigh,Ant-v5,1,485.5161027908325,inf,-61.299629406005224,173.47004523342656,.eval/entrpohigh/Ant-v5_3/run_1_data.csv,.eval/entrpohigh/Ant-v5_3
entrpohigh,Ant-v5,2,490.09416913986206,inf,-61.50264029701686,176.32808986542952,.eval/entrpohigh/Ant-v5_4/run_2_data.csv,.eval/entrpohigh/Ant-v5_4
entrpohigh,Ant-v5,3,489.11673164367676,inf,-57.95473416729089,166.24801017996387,.eval/entrpohigh/Ant-v5_5/run_3_data.csv,.eval/entrpohigh/Ant-v5_5
entrpohigh,Ant-v5,4,501.46920132637024,inf,-54.66544421557562,144.49236570667614,.eval/entrpohigh/Ant-v5_6/run_4_data.csv,.eval/entrpohigh/Ant-v5_6
entrpohigh,Ant-v5,5,497.3328013420105,inf,-62.43305556121212,165.38649552175727,.eval/entrpohigh/Ant-v5_7/run_5_data.csv,.eval/entrpohigh/Ant-v5_7
entrpohigh,Ant-v5,6,497.80982303619385,inf,-62.76602868194445,175.00002935065027,.eval/entrpohigh/Ant-v5_8/run_6_data.csv,.eval/entrpohigh/Ant-v5_8
entrpohigh,Ant-v5,7,501.1287090778351,inf,-65.33393077020202,165.69164655654723,.eval/entrpohigh/Ant-v5_9/run_7_data.csv,.eval/entrpohigh/Ant-v5_9
entrpohigh,Ant-v5,8,486.24040961265564,inf,-58.39900587231504,151.47840225861205,.eval/entrpohigh/Ant-v5_10/run_8_data.csv,.eval/entrpohigh/Ant-v5_10
entrpohigh,Ant-v5,9,479.6991264820099,inf,-60.38534305907781,180.84387271905456,.eval/entrpohigh/Ant-v5_11/run_9_data.csv,.eval/entrpohigh/Ant-v5_11
entrpohigh,Ant-v5,10,496.24258041381836,inf,-59.14975771148825,164.88945901603574,.eval/entrpohigh/Ant-v5_12/run_10_data.csv,.eval/entrpohigh/Ant-v5_12
entrpohigh,Humanoid-v5,1,726.2011761665344,inf,162.68105770366944,87.53500763476544,.eval/entrpohigh/Humanoid-v5_1/run_1_data.csv,.eval/entrpohigh/Humanoid-v5_1
entrpohigh,Humanoid-v5,2,721.7168152332306,inf,157.41192466817088,80.92451865290039,.eval/entrpohigh/Humanoid-v5_2/run_2_data.csv,.eval/entrpohigh/Humanoid-v5_2
entrpohigh,Humanoid-v5,3,707.156355381012,inf,158.5943567281788,85.74624295919615,.eval/entrpohigh/Humanoid-v5_3/run_3_data.csv,.eval/entrpohigh/Humanoid-v5_3
entrpohigh,Humanoid-v5,4,733.0321068763733,inf,162.6117446718266,86.3781612257646,.eval/entrpohigh/Humanoid-v5_4/run_4_data.csv,.eval/entrpohigh/Humanoid-v5_4
entrpohigh,Humanoid-v5,5,732.1428997516632,inf,166.48281778264985,88.77671687805166,.eval/entrpohigh/Humanoid-v5_5/run_5_data.csv,.eval/entrpohigh/Humanoid-v5_5
trpor,Ant-v5,2,13472.26135969162,inf,676.1771881107449,668.6112600796208,.eval/trpor/Ant-v5_18/run_2_data.csv,.eval/trpor/Ant-v5_18
entrpohigh,Humanoid-v5,6,718.4615576267242,inf,162.60997532835822,88.309286551373,.eval/entrpohigh/Humanoid-v5_6/run_6_data.csv,.eval/entrpohigh/Humanoid-v5_6
entrpo,Ant-v5,3,10227.583418607712,1786,504.1166298574109,721.0894132990182,.eval/entrpo/Ant-v5_3/run_3_data.csv,.eval/entrpo/Ant-v5_3
entrpohigh,Humanoid-v5,7,726.064877986908,inf,161.48806680801232,84.47897101774464,.eval/entrpohigh/Humanoid-v5_7/run_7_data.csv,.eval/entrpohigh/Humanoid-v5_7
entrpohigh,Humanoid-v5,8,727.2944796085358,inf,165.26714670993087,87.48895636182101,.eval/entrpohigh/Humanoid-v5_8/run_8_data.csv,.eval/entrpohigh/Humanoid-v5_8
entrpohigh,Humanoid-v5,9,728.1075618267059,inf,167.24944245692407,88.83194510491154,.eval/entrpohigh/Humanoid-v5_9/run_9_data.csv,.eval/entrpohigh/Humanoid-v5_9
entrpohigh,Humanoid-v5,10,741.7203018665314,inf,154.22012266107185,79.79061731934584,.eval/entrpohigh/Humanoid-v5_10/run_10_data.csv,.eval/entrpohigh/Humanoid-v5_10
entrpolow,Ant-v5,1,4684.60786151886,inf,-116.48922713454546,235.24814836803887,.eval/entrpolow/Ant-v5_1/run_1_data.csv,.eval/entrpolow/Ant-v5_1
entrpo,Ant-v5,4,10553.395946979523,1802,591.2910444761686,887.5737470864776,.eval/entrpo/Ant-v5_4/run_4_data.csv,.eval/entrpo/Ant-v5_4
entrpolow,Ant-v5,2,4599.977083444595,inf,-125.68937325423728,249.16273984317442,.eval/entrpolow/Ant-v5_2/run_2_data.csv,.eval/entrpolow/Ant-v5_2
trpor,Ant-v5,3,15972.585465192795,inf,573.9108687995938,605.974061831443,.eval/trpor/Ant-v5_19/run_3_data.csv,.eval/trpor/Ant-v5_19
entrpolow,Ant-v5,3,4644.382406711578,inf,-107.73918578708947,219.78368712000042,.eval/entrpolow/Ant-v5_3/run_3_data.csv,.eval/entrpolow/Ant-v5_3
entrpo,Ant-v5,5,10552.093616485596,2613,389.75855443239334,718.4037411708988,.eval/entrpo/Ant-v5_5/run_5_data.csv,.eval/entrpo/Ant-v5_5
entrpolow,Ant-v5,4,4694.638163089752,inf,-119.20838196603773,239.1926716935722,.eval/entrpolow/Ant-v5_4/run_4_data.csv,.eval/entrpolow/Ant-v5_4
entrpolow,Ant-v5,5,4630.728584766388,inf,-108.25109244557824,226.94368638338176,.eval/entrpolow/Ant-v5_5/run_5_data.csv,.eval/entrpolow/Ant-v5_5
trpo,Ant-v5,1,51602.39819598198,inf,716.3668335750973,426.50586674680164,.eval/trpo/Ant-v5_11/run_1_data.csv,.eval/trpo/Ant-v5_11
entrpolow,Ant-v5,6,4610.942264080048,inf,-104.85190463665595,218.5978978464187,.eval/entrpolow/Ant-v5_6/run_6_data.csv,.eval/entrpolow/Ant-v5_6
trpor,Ant-v5,4,15975.52140712738,inf,633.1101611482462,675.6206574243369,.eval/trpor/Ant-v5_20/run_4_data.csv,.eval/trpor/Ant-v5_20
entrpo,Ant-v5,6,10510.800418376923,2768,339.73855480657573,612.997036203133,.eval/entrpo/Ant-v5_6/run_6_data.csv,.eval/entrpo/Ant-v5_6
trpo,Ant-v5,2,7167.790328979492,inf,145.6422675270758,344.37501628684305,.eval/trpo/Ant-v5_13/run_2_data.csv,.eval/trpo/Ant-v5_13
entrpolow,Ant-v5,7,4651.1386523246765,inf,-101.1807763719705,207.31899921779504,.eval/entrpolow/Ant-v5_7/run_7_data.csv,.eval/entrpolow/Ant-v5_7
entrpolow,Ant-v5,8,4608.015168190002,inf,-114.49257399159664,237.90877742232001,.eval/entrpolow/Ant-v5_8/run_8_data.csv,.eval/entrpolow/Ant-v5_8
entrpo,Ant-v5,7,10553.196743249893,2240,447.6112797434974,739.6411467247292,.eval/entrpo/Ant-v5_7/run_7_data.csv,.eval/entrpo/Ant-v5_7
trpo,Ant-v5,3,7102.1892557144165,inf,180.43180723144104,369.8561329315885,.eval/trpo/Ant-v5_14/run_3_data.csv,.eval/trpo/Ant-v5_14
entrpolow,Ant-v5,9,4685.09783244133,inf,-105.7736946,222.7712578650644,.eval/entrpolow/Ant-v5_9/run_9_data.csv,.eval/entrpolow/Ant-v5_9
trpor,Ant-v5,5,16059.356120586395,inf,557.7252471525996,569.1245209791675,.eval/trpor/Ant-v5_21/run_5_data.csv,.eval/trpor/Ant-v5_21
entrpolow,Ant-v5,10,4718.029328584671,inf,-92.10028096421846,195.64763111472854,.eval/entrpolow/Ant-v5_10/run_10_data.csv,.eval/entrpolow/Ant-v5_10
trpo,Ant-v5,4,7187.028522014618,inf,136.45698911764705,357.4498211335077,.eval/trpo/Ant-v5_15/run_4_data.csv,.eval/trpo/Ant-v5_15
entrpo,Ant-v5,8,10563.466337442398,2043,440.4735923808279,677.0357087979235,.eval/entrpo/Ant-v5_8/run_8_data.csv,.eval/entrpo/Ant-v5_8
trpo,Ant-v5,5,7183.768615245819,inf,154.07578740625,363.5594391455151,.eval/trpo/Ant-v5_16/run_5_data.csv,.eval/trpo/Ant-v5_16
entrpo,Ant-v5,9,10707.813195228577,1537,686.2274566531346,951.7733230801883,.eval/entrpo/Ant-v5_9/run_9_data.csv,.eval/entrpo/Ant-v5_9
trpor,Ant-v5,6,16129.72945523262,inf,713.1404894036635,752.2596456211851,.eval/trpor/Ant-v5_22/run_6_data.csv,.eval/trpor/Ant-v5_22
trpo,Ant-v5,6,7192.165425777435,inf,144.77785849248122,356.9614000647687,.eval/trpo/Ant-v5_17/run_6_data.csv,.eval/trpo/Ant-v5_17
trpo,Ant-v5,7,7337.36216044426,inf,114.32939425233644,314.06796555832204,.eval/trpo/Ant-v5_18/run_7_data.csv,.eval/trpo/Ant-v5_18
entrpo,Ant-v5,10,10761.256800889969,2124,545.7966629581489,899.7435857657763,.eval/entrpo/Ant-v5_10/run_10_data.csv,.eval/entrpo/Ant-v5_10
entrpolow,Humanoid-v5,1,26634.037960767746,inf,235.4590831378175,116.98539379815558,.eval/entrpolow/Humanoid-v5_1/run_1_data.csv,.eval/entrpolow/Humanoid-v5_1
trpo,Ant-v5,8,5840.727207183838,inf,131.79818607142857,339.11498851778657,.eval/trpo/Ant-v5_19/run_8_data.csv,.eval/trpo/Ant-v5_19
trpor,Ant-v5,7,14237.086086273193,inf,466.1573557027174,598.50889652268,.eval/trpor/Ant-v5_23/run_7_data.csv,.eval/trpor/Ant-v5_23
trpo,Ant-v5,9,4857.535314083099,inf,236.44472697206703,422.05046343256,.eval/trpo/Ant-v5_20/run_9_data.csv,.eval/trpo/Ant-v5_20
trpo,Ant-v5,10,4897.440807342529,inf,158.47245450194552,359.8794261314785,.eval/trpo/Ant-v5_21/run_10_data.csv,.eval/trpo/Ant-v5_21
trpor,Ant-v5,8,9550.465778827667,inf,609.2028496332916,644.9768801241539,.eval/trpor/Ant-v5_24/run_8_data.csv,.eval/trpor/Ant-v5_24
entrpolow,Humanoid-v5,2,13243.75617313385,inf,226.37481509837545,118.94467770236928,.eval/entrpolow/Humanoid-v5_2/run_2_data.csv,.eval/entrpolow/Humanoid-v5_2
trpor,Ant-v5,9,4285.8980050086975,inf,688.9720341036303,759.3220657952235,.eval/trpor/Ant-v5_25/run_9_data.csv,.eval/trpor/Ant-v5_25
entrpolow,Humanoid-v5,3,5322.69785284996,inf,225.53148108652547,116.73165555286357,.eval/entrpolow/Humanoid-v5_3/run_3_data.csv,.eval/entrpolow/Humanoid-v5_3
trpor,Ant-v5,10,4325.3512279987335,inf,802.4349142395694,933.9376168869824,.eval/trpor/Ant-v5_26/run_10_data.csv,.eval/trpor/Ant-v5_26
entrpolow,Humanoid-v5,4,2457.188009738922,inf,232.84600879003725,115.99589701339421,.eval/entrpolow/Humanoid-v5_4/run_4_data.csv,.eval/entrpolow/Humanoid-v5_4
entrpolow,Humanoid-v5,5,1236.0813825130463,inf,225.56397070606602,106.39798386226188,.eval/entrpolow/Humanoid-v5_5/run_5_data.csv,.eval/entrpolow/Humanoid-v5_5
entrpolow,Humanoid-v5,6,1266.6977715492249,inf,226.8147674879161,119.0828519643232,.eval/entrpolow/Humanoid-v5_6/run_6_data.csv,.eval/entrpolow/Humanoid-v5_6
entrpolow,Humanoid-v5,7,1272.1698372364044,inf,230.16105470478848,116.780288947012,.eval/entrpolow/Humanoid-v5_7/run_7_data.csv,.eval/entrpolow/Humanoid-v5_7
entrpolow,Humanoid-v5,8,1293.314210176468,inf,232.22491403606557,118.03748509799695,.eval/entrpolow/Humanoid-v5_8/run_8_data.csv,.eval/entrpolow/Humanoid-v5_8
entrpolow,Humanoid-v5,9,1253.7009766101837,inf,233.58922184131455,119.04106169476387,.eval/entrpolow/Humanoid-v5_9/run_9_data.csv,.eval/entrpolow/Humanoid-v5_9
entrpolow,Humanoid-v5,10,1290.7433941364288,inf,228.68365289680366,111.92489815316353,.eval/entrpolow/Humanoid-v5_10/run_10_data.csv,.eval/entrpolow/Humanoid-v5_10
entrpo,Humanoid-v5,1,185.25311374664307,inf,171.51833722357725,79.16712815348512,.eval/entrpo/Humanoid-v5_4/run_1_data.csv,.eval/entrpo/Humanoid-v5_4
entrpo,Humanoid-v5,2,181.58463501930237,inf,154.60092227661724,76.68548398342142,.eval/entrpo/Humanoid-v5_5/run_2_data.csv,.eval/entrpo/Humanoid-v5_5
entrpo,Humanoid-v5,3,179.7594633102417,inf,152.92234246870794,73.97909087232962,.eval/entrpo/Humanoid-v5_6/run_3_data.csv,.eval/entrpo/Humanoid-v5_6
entrpo,Humanoid-v5,4,178.40352606773376,inf,145.24710371027442,65.85593523044322,.eval/entrpo/Humanoid-v5_7/run_4_data.csv,.eval/entrpo/Humanoid-v5_7
entrpo,Humanoid-v5,5,181.29642271995544,inf,151.2698180216739,67.4058287920787,.eval/entrpo/Humanoid-v5_8/run_5_data.csv,.eval/entrpo/Humanoid-v5_8
entrpo,Humanoid-v5,6,178.6568489074707,inf,147.99207327456082,72.75702951071233,.eval/entrpo/Humanoid-v5_9/run_6_data.csv,.eval/entrpo/Humanoid-v5_9
entrpo,Humanoid-v5,7,179.11412405967712,inf,179.67148744932038,90.50084900736019,.eval/entrpo/Humanoid-v5_10/run_7_data.csv,.eval/entrpo/Humanoid-v5_10
entrpo,Humanoid-v5,8,182.64733600616455,inf,173.1703756846067,87.31266399019333,.eval/entrpo/Humanoid-v5_11/run_8_data.csv,.eval/entrpo/Humanoid-v5_11
entrpo,Humanoid-v5,9,182.04229164123535,inf,153.7468799,70.40767376423452,.eval/entrpo/Humanoid-v5_12/run_9_data.csv,.eval/entrpo/Humanoid-v5_12
entrpo,Humanoid-v5,10,179.00885772705078,inf,138.77138171472112,61.72235492291707,.eval/entrpo/Humanoid-v5_13/run_10_data.csv,.eval/entrpo/Humanoid-v5_13
ppo,Ant-v5,1,416.4890470504761,inf,-75.43546548734177,168.3763000905072,.eval/ppo/Ant-v5_1/run_1_data.csv,.eval/ppo/Ant-v5_1
ppo,Ant-v5,2,412.00234627723694,inf,-73.77549533972604,167.47541480687724,.eval/ppo/Ant-v5_2/run_2_data.csv,.eval/ppo/Ant-v5_2
ppo,Ant-v5,3,415.46561217308044,inf,-68.96114897597597,166.53960907775618,.eval/ppo/Ant-v5_3/run_3_data.csv,.eval/ppo/Ant-v5_3
ppo,Ant-v5,4,416.8267891407013,inf,-73.64995428263988,170.890477244547,.eval/ppo/Ant-v5_4/run_4_data.csv,.eval/ppo/Ant-v5_4
ppo,Ant-v5,5,414.80915665626526,inf,-71.75719236615384,169.03457721625577,.eval/ppo/Ant-v5_5/run_5_data.csv,.eval/ppo/Ant-v5_5
ppo,Ant-v5,6,412.697137594223,inf,-57.293045615384614,146.45037045421017,.eval/ppo/Ant-v5_6/run_6_data.csv,.eval/ppo/Ant-v5_6
ppo,Ant-v5,7,412.52869868278503,inf,-70.72612296810208,169.68517422043396,.eval/ppo/Ant-v5_7/run_7_data.csv,.eval/ppo/Ant-v5_7
ppo,Ant-v5,8,415.05363416671753,inf,-68.71554205882353,161.3459762441401,.eval/ppo/Ant-v5_8/run_8_data.csv,.eval/ppo/Ant-v5_8
ppo,Ant-v5,9,418.81859731674194,inf,-71.10264680354706,159.5919202137599,.eval/ppo/Ant-v5_9/run_9_data.csv,.eval/ppo/Ant-v5_9
ppo,Ant-v5,10,403.7037181854248,inf,-75.89153229206349,173.4948603604013,.eval/ppo/Ant-v5_10/run_10_data.csv,.eval/ppo/Ant-v5_10
ppo,Humanoid-v5,1,208.86021518707275,inf,104.63686312235916,34.15244349851649,.eval/ppo/Humanoid-v5_1/run_1_data.csv,.eval/ppo/Humanoid-v5_1
ppo,Humanoid-v5,2,233.51927256584167,inf,106.51237250883867,35.77289454824948,.eval/ppo/Humanoid-v5_2/run_2_data.csv,.eval/ppo/Humanoid-v5_2
ppo,Humanoid-v5,3,251.72112941741943,inf,106.28943088593157,34.84079990172311,.eval/ppo/Humanoid-v5_3/run_3_data.csv,.eval/ppo/Humanoid-v5_3
ppo,Humanoid-v5,4,221.18342566490173,inf,105.00080222143802,35.575469701224726,.eval/ppo/Humanoid-v5_4/run_4_data.csv,.eval/ppo/Humanoid-v5_4
ppo,Humanoid-v5,5,212.39941716194153,inf,106.04856531577772,34.59206795337367,.eval/ppo/Humanoid-v5_5/run_5_data.csv,.eval/ppo/Humanoid-v5_5
ppo,Humanoid-v5,6,224.39867043495178,inf,106.18407555042391,36.16171263236876,.eval/ppo/Humanoid-v5_6/run_6_data.csv,.eval/ppo/Humanoid-v5_6
ppo,Humanoid-v5,7,207.40547227859497,inf,105.1081090794702,35.207669288125786,.eval/ppo/Humanoid-v5_7/run_7_data.csv,.eval/ppo/Humanoid-v5_7
ppo,Humanoid-v5,8,216.03420734405518,inf,107.205365748422,36.553095403900876,.eval/ppo/Humanoid-v5_8/run_8_data.csv,.eval/ppo/Humanoid-v5_8
ppo,Humanoid-v5,9,213.8995382785797,inf,105.35887931287392,35.51614097152068,.eval/ppo/Humanoid-v5_9/run_9_data.csv,.eval/ppo/Humanoid-v5_9
ppo,Humanoid-v5,10,216.04704928398132,inf,105.89789540057893,35.882744511886635,.eval/ppo/Humanoid-v5_10/run_10_data.csv,.eval/ppo/Humanoid-v5_10
trpoq2,Ant-v5,1,138.22051644325256,inf,-121.81159486096257,253.37655500770947,.eval/trpoq2/Ant-v5_1/run_1_data.csv,.eval/trpoq2/Ant-v5_1
trpoq2,Ant-v5,2,137.49708533287048,inf,-101.84121974561404,219.56650881032309,.eval/trpoq2/Ant-v5_2/run_2_data.csv,.eval/trpoq2/Ant-v5_2
trpoq2,Ant-v5,3,134.39453148841858,inf,-93.5837216901063,201.8933412284991,.eval/trpoq2/Ant-v5_3/run_3_data.csv,.eval/trpoq2/Ant-v5_3
trpoq2,Ant-v5,4,136.23298573493958,inf,-117.49541215789473,239.95913360378174,.eval/trpoq2/Ant-v5_4/run_4_data.csv,.eval/trpoq2/Ant-v5_4
trpoq2,Ant-v5,5,133.4028124809265,inf,-112.06392642954324,234.89160590964997,.eval/trpoq2/Ant-v5_5/run_5_data.csv,.eval/trpoq2/Ant-v5_5
trpoq2,Ant-v5,6,136.1961009502411,inf,-118.58172517355372,244.5083227131615,.eval/trpoq2/Ant-v5_6/run_6_data.csv,.eval/trpoq2/Ant-v5_6
trpoq2,Ant-v5,7,133.47462153434753,inf,-110.99797422526935,231.55482349892839,.eval/trpoq2/Ant-v5_7/run_7_data.csv,.eval/trpoq2/Ant-v5_7
trpoq2,Ant-v5,8,134.08558249473572,inf,-107.22056943383743,232.21490537439294,.eval/trpoq2/Ant-v5_8/run_8_data.csv,.eval/trpoq2/Ant-v5_8
trpoq2,Ant-v5,9,134.74245309829712,inf,-114.5455469979757,239.53762720617505,.eval/trpoq2/Ant-v5_9/run_9_data.csv,.eval/trpoq2/Ant-v5_9
